seq,line_number,timestamp,src_ip,dst_ip,rogue_origin,objects_targeted,switchgear_types,n_objects
71,284045,2026-02-15 15:59:38.694636,10.0.19.49,10.0.19.39,IEDEXPLORER,E03A103_CTRL/Q0CSWI1$ST$Pos,Circuit Breaker,1
72,284047,2026-02-15 15:59:38.860555,10.0.19.49,10.0.19.39,IEDEXPLORER,E03A103_CTRL/Q0CSWI1$ST$Pos; E03A103_CTRL/Q1CILO1$ST$EnaCls,"Circuit Breaker, Interlocking",2
73,284113,2026-02-15 16:00:06.815549,10.0.19.49,10.0.19.39,IEDEXPLORER,E03A103_CTRL/Q1CSWI1$ST$Pos,Disconnector,1
74,284115,2026-02-15 16:00:07.754447,10.0.19.49,10.0.19.39,IEDEXPLORER,E03A103_CTRL/Q1CSWI1$ST$Pos,Disconnector,1
75,284117,2026-02-15 16:00:09.360764,10.0.19.49,10.0.19.39,IEDEXPLORER,E03A103_CTRL/Q0CILO1$ST$EnaCls; E03A103_CTRL/Q1CSWI1$ST$Pos; E03A103_CTRL/Q2CILO1$ST$EnaCls; E03A103_CTRL/Q8CILO1$ST$EnaCls,"Disconnector, Interlocking",4
76,284185,2026-02-15 16:00:38.074093,10.0.19.49,10.0.19.39,IEDEXPLORER,E03A103_CTRL/Q2CSWI1$ST$Pos,Disconnector,1
77,284187,2026-02-15 16:00:39.677639,10.0.19.49,10.0.19.39,IEDEXPLORER,E03A103_CTRL/Q0CILO1$ST$EnaCls; E03A103_CTRL/Q2CSWI1$ST$Pos,"Disconnector, Interlocking",2
78,284221,2026-02-15 16:00:53.466618,10.0.19.49,10.0.19.39,IEDEXPLORER,E03A103_CTRL/Q0CSWI1$ST$Pos,Circuit Breaker,1
79,284225,2026-02-15 16:00:53.525176,10.0.19.49,10.0.19.39,IEDEXPLORER,E03A103_CTRL/Q0CSWI1$ST$Pos,Circuit Breaker,1
80,350665,2026-02-16 00:09:18.654551,10.0.19.47,10.0.19.39,IEDEXPLORER,E01A103_CTRL/Q0CSWI1$ST$Pos,Circuit Breaker,1
81,350695,2026-02-16 00:09:30.444845,10.0.19.47,10.0.19.39,IEDEXPLORER,E01A103_CTRL/Q2CSWI1$ST$Pos,Disconnector,1
82,350912,2026-02-16 00:11:04.489090,10.0.19.49,10.0.19.39,IEDEXPLORER,E03A103_CTRL/Q0CSWI1$ST$Pos,Circuit Breaker,1
83,350973,2026-02-16 00:11:27.373370,10.0.19.49,10.0.19.39,IEDEXPLORER,E03A103_CTRL/Q2CSWI1$ST$Pos,Disconnector,1
84,359706,2026-02-16 01:19:50.396582,10.0.19.47,10.0.19.39,IEDEXPLORER,E01A103_CTRL/Q1CSWI1$ST$Pos,Disconnector,1
85,360273,2026-02-16 01:23:51.864830,10.0.19.49,10.0.19.39,IEDEXPLORER,E03A103_CTRL/Q1CSWI1$ST$Pos,Disconnector,1
86,371270,2026-02-16 02:44:30.814235,10.0.19.49,10.0.19.39,IEDEXPLORER,E03A103_CTRL/Q0CSWI1$ST$Pos; E03A103_CTRL/Q1CILO1$ST$EnaCls,"Circuit Breaker, Interlocking",2
87,371321,2026-02-16 02:44:53.590076,10.0.19.49,10.0.19.39,IEDEXPLORER,E03A103_CTRL/Q1CSWI1$ST$Pos,Disconnector,1
88,371324,2026-02-16 02:44:55.195140,10.0.19.49,10.0.19.39,IEDEXPLORER,E03A103_CTRL/Q1CSWI1$ST$Pos,Disconnector,1
89,371434,2026-02-16 02:45:41.131239,10.0.19.49,10.0.19.39,IEDEXPLORER,E03A103_CTRL/Q2CSWI1$ST$Pos,Disconnector,1
90,371437,2026-02-16 02:45:42.733807,10.0.19.49,10.0.19.39,IEDEXPLORER,E03A103_CTRL/Q0CILO1$ST$EnaCls; E03A103_CTRL/Q2CSWI1$ST$Pos,"Disconnector, Interlocking",2
91,371481,2026-02-16 02:46:02.631642,10.0.19.49,10.0.19.39,IEDEXPLORER,E03A103_CTRL/Q0CSWI1$ST$Pos,Circuit Breaker,1
92,371483,2026-02-16 02:46:02.853257,10.0.19.49,10.0.19.39,IEDEXPLORER,E03A103_CTRL/Q0CSWI1$ST$Pos,Circuit Breaker,1
93,374664,2026-02-16 03:09:15.292625,10.0.19.47,10.0.19.39,IEDEXPLORER,E01A103_CTRL/Q0CSWI1$ST$Pos; E01A103_CTRL/Q1CILO1$ST$EnaCls,"Circuit Breaker, Interlocking",2
94,374759,2026-02-16 03:09:56.341152,10.0.19.47,10.0.19.39,IEDEXPLORER,E01A103_CTRL/Q1CSWI1$ST$Pos,Disconnector,1
95,374767,2026-02-16 03:09:57.935751,10.0.19.47,10.0.19.39,IEDEXPLORER,E01A103_CTRL/Q1CSWI1$ST$Pos,Disconnector,1
96,374845,2026-02-16 03:10:31.149168,10.0.19.47,10.0.19.39,IEDEXPLORER,E01A103_CTRL/Q2CSWI1$ST$Pos,Disconnector,1
97,374848,2026-02-16 03:10:32.804587,10.0.19.47,10.0.19.39,IEDEXPLORER,E01A103_CTRL/Q2CSWI1$ST$Pos,Disconnector,1
98,374888,2026-02-16 03:10:49.409993,10.0.19.47,10.0.19.39,IEDEXPLORER,E01A103_CTRL/Q0CSWI1$ST$Pos,Circuit Breaker,1
99,374891,2026-02-16 03:10:49.613909,10.0.19.47,10.0.19.39,IEDEXPLORER,E01A103_CTRL/Q0CSWI1$ST$Pos,Circuit Breaker,1
100,392148,2026-02-16 05:30:23.952205,10.0.19.47,10.0.19.39,IEDEXPLORER,E01A103_CTRL/Q0CSWI1$ST$Pos,Circuit Breaker,1
101,392196,2026-02-16 05:30:43.892546,10.0.19.47,10.0.19.39,IEDEXPLORER,E01A103_CTRL/Q2CSWI1$ST$Pos,Disconnector,1
102,392262,2026-02-16 05:31:10.706353,10.0.19.49,10.0.19.39,IEDEXPLORER,E03A103_CTRL/Q0CSWI1$ST$Pos,Circuit Breaker,1
103,392321,2026-02-16 05:31:34.684938,10.0.19.49,10.0.19.39,IEDEXPLORER,E03A103_CTRL/Q2CSWI1$ST$Pos,Disconnector,1
104,392352,2026-02-16 05:31:49.410995,10.0.19.49,10.0.19.39,IEDEXPLORER,E03A103_CTRL/Q1CSWI1$ST$Pos,Disconnector,1
105,392423,2026-02-16 05:32:20.105837,10.0.19.47,10.0.19.39,IEDEXPLORER,E01A103_CTRL/Q1CSWI1$ST$Pos,Disconnector,1
