line_number,timestamp,stream_id,src_ip,dst_ip,rogue_origin,data_object,switchgear
174018,2026-02-15T01:55:12.101293,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,IEDEXPLORER,E01A103_CTRL/Q1CSWI1$ST$Pos,Disconnector
174019,2026-02-15T01:55:13.838724,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,IEDEXPLORER,E01A103_CTRL/Q0CILO1$ST$EnaCls,Interlocking
174019,2026-02-15T01:55:13.838724,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,IEDEXPLORER,E01A103_CTRL/Q1CSWI1$ST$Pos,Disconnector
174131,2026-02-15T01:56:03.269290,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,IEDEXPLORER,E01A103_CTRL/Q0CSWI1$ST$Pos,Circuit Breaker
174133,2026-02-15T01:56:03.443016,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,IEDEXPLORER,E01A103_CTRL/Q0CSWI1$ST$Pos,Circuit Breaker
175069,2026-02-15T02:02:55.890848,10.0.19.39:56638-10.0.19.49:102,10.0.19.49,10.0.19.39,IEDEXPLORER,E03A103_CTRL/Q1CSWI1$ST$Pos,Disconnector
206992,2026-02-15T05:57:12.938226,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,IEDEXPLORER,E01A103_CTRL/Q0CSWI1$ST$Pos,Circuit Breaker
207011,2026-02-15T05:57:21.002867,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,IEDEXPLORER,E01A103_CTRL/Q1CSWI1$ST$Pos,Disconnector
237565,2026-02-15T09:54:31.687580,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,IEDEXPLORER,E01A103_CTRL/Q0CSWI1$ST$Pos,Circuit Breaker
237565,2026-02-15T09:54:31.687580,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,IEDEXPLORER,E01A103_CTRL/Q1CILO1$ST$EnaCls,Interlocking
237787,2026-02-15T09:56:17.804785,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,IEDEXPLORER,E01A103_CTRL/Q1CSWI1$ST$Pos,Disconnector
237792,2026-02-15T09:56:19.388810,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,IEDEXPLORER,E01A103_CTRL/Q1CSWI1$ST$Pos,Disconnector
244918,2026-02-15T10:54:01.427673,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,IEDEXPLORER,E01A103_CTRL/Q1CSWI1$ST$Pos,Disconnector
244920,2026-02-15T10:54:02.363127,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,IEDEXPLORER,E01A103_CTRL/Q1CSWI1$ST$Pos,Disconnector
244922,2026-02-15T10:54:03.991219,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,IEDEXPLORER,E01A103_CTRL/Q0CILO1$ST$EnaCls,Interlocking
244922,2026-02-15T10:54:03.991219,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,IEDEXPLORER,E01A103_CTRL/Q1CSWI1$ST$Pos,Disconnector
244942,2026-02-15T10:54:13.929991,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,IEDEXPLORER,E01A103_CTRL/Q0CSWI1$ST$Pos,Circuit Breaker
244944,2026-02-15T10:54:14.126161,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,IEDEXPLORER,E01A103_CTRL/Q0CSWI1$ST$Pos,Circuit Breaker
269468,2026-02-15T14:12:32.928308,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,IEDEXPLORER,E01A103_CTRL/Q0CSWI1$ST$Pos,Circuit Breaker
269496,2026-02-15T14:12:42.062247,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,IEDEXPLORER,E01A103_CTRL/Q1CSWI1$ST$Pos,Disconnector
270732,2026-02-15T14:21:35.526053,10.0.19.39:56638-10.0.19.49:102,10.0.19.49,10.0.19.39,IEDEXPLORER,E03A103_CTRL/Q0CSWI1$ST$Pos,Circuit Breaker
270732,2026-02-15T14:21:35.526053,10.0.19.39:56638-10.0.19.49:102,10.0.19.49,10.0.19.39,IEDEXPLORER,E03A103_CTRL/Q1CILO1$ST$EnaCls,Interlocking
270779,2026-02-15T14:21:56.075147,10.0.19.39:56638-10.0.19.49:102,10.0.19.49,10.0.19.39,IEDEXPLORER,E03A103_CTRL/Q1CSWI1$ST$Pos,Disconnector
270782,2026-02-15T14:21:57.620372,10.0.19.39:56638-10.0.19.49:102,10.0.19.49,10.0.19.39,IEDEXPLORER,E03A103_CTRL/Q0CILO1$ST$EnaCls,Interlocking
270782,2026-02-15T14:21:57.620372,10.0.19.39:56638-10.0.19.49:102,10.0.19.49,10.0.19.39,IEDEXPLORER,E03A103_CTRL/Q1CSWI1$ST$Pos,Disconnector
270782,2026-02-15T14:21:57.620372,10.0.19.39:56638-10.0.19.49:102,10.0.19.49,10.0.19.39,IEDEXPLORER,E03A103_CTRL/Q2CILO1$ST$EnaCls,Interlocking
270782,2026-02-15T14:21:57.620372,10.0.19.39:56638-10.0.19.49:102,10.0.19.49,10.0.19.39,IEDEXPLORER,E03A103_CTRL/Q8CILO1$ST$EnaCls,Interlocking
