event_source,line_number,timestamp,direction,service,src_ip,dst_ip,stream_id,invoke_id,control_object,control_action,ctl_num,origin_identifier,report_seq_num,report_origins,report_ctl_nums,report_control_refs,report_boolean_values,protocol_tag,protocol_reasons,stat_reasons,protocol_score,stat_score,anomaly_score,final_tag,suppressed,summary
packet,269473,2026-02-15T14:12:35.432802,RESPONSE,UNCONFIRMED,10.0.19.47,10.0.19.39,10.0.19.39:56633-10.0.19.47:102,,,,,,125,SAT200: 10.0.19.39 Origin:128,172,E01A103_CTRL/Q0CSWI1$ST$Pos,false,failed-control,report_without_matching_write,,45.00,0.00,45.00,failed-control,0,Unconfirmed <RPT>
packet,269495,2026-02-15T14:12:42.062247,RESPONSE,UNCONFIRMED,10.0.19.47,10.0.19.39,10.0.19.39:56633-10.0.19.47:102,,,,,,127,IEDEXPLORER,2,E01A103_CTRL/Q1CSWI1$ST$Pos,true,likely-attack,unexpected_octet_identity_in_control_context;report_origin_not_seen_in_writes;report_ctlnum_regression;report_without_matching_write,,85.00,0.00,85.00,likely-attack,0,Unconfirmed <RPT>
packet,269501,2026-02-15T14:12:45.747432,RESPONSE,UNCONFIRMED,10.0.19.47,10.0.19.39,10.0.19.39:56633-10.0.19.47:102,,,,,,129,SAT200: 10.0.19.39 Origin:128,173,E01A103_CTRL/Q1CSWI1$ST$Pos,true,failed-control,report_without_matching_write,,45.00,0.00,45.00,failed-control,0,Unconfirmed <RPT>
packet,269506,2026-02-15T14:12:47.336972,RESPONSE,UNCONFIRMED,10.0.19.47,10.0.19.39,10.0.19.39:56633-10.0.19.47:102,,,,,,,SAT200: 10.0.19.39 Origin:128,173,,false;false,failed-control,report_without_matching_write,,45.00,0.00,45.00,failed-control,0,Unconfirmed <?>
packet,269507,2026-02-15T14:12:47.358441,RESPONSE,UNCONFIRMED,10.0.19.47,10.0.19.39,10.0.19.39:56633-10.0.19.47:102,,,,,,130,SAT200: 10.0.19.39 Origin:128,173,E01A103_CTRL/Q0CILO1$ST$EnaCls;E01A103_CTRL/Q1CSWI1$ST$Pos;E01A103_CTRL/Q2CILO1$ST$EnaCls;E01A103_CTRL/Q8CILO1$ST$EnaCls,true;false;true;true,failed-control,report_without_matching_write,,45.00,0.00,45.00,failed-control,0,Unconfirmed <RPT>
packet,269526,2026-02-15T14:12:53.391111,RESPONSE,UNCONFIRMED,10.0.19.49,10.0.19.39,10.0.19.39:56638-10.0.19.49:102,,,,,,42,SAT200: 10.0.19.39 Origin:128,171,E03A103_CTRL/Q1CSWI1$ST$Pos,true,failed-control,report_without_matching_write,,45.00,0.00,45.00,failed-control,0,Unconfirmed <RPT>
packet,269542,2026-02-15T14:12:58.010614,RESPONSE,UNCONFIRMED,10.0.19.49,10.0.19.39,10.0.19.39:56638-10.0.19.49:102,,,,,,44,SAT200: 10.0.19.39 Origin:128,174,E03A103_CTRL/Q1CSWI1$ST$Pos,true,failed-control,report_without_matching_write,,45.00,0.00,45.00,failed-control,0,Unconfirmed <RPT>
packet,269549,2026-02-15T14:12:59.597705,RESPONSE,UNCONFIRMED,10.0.19.49,10.0.19.39,10.0.19.39:56638-10.0.19.49:102,,,,,,,SAT200: 10.0.19.39 Origin:128,174,,true;false,failed-control,report_without_matching_write,,45.00,0.00,45.00,failed-control,0,Unconfirmed <?>
packet,269550,2026-02-15T14:12:59.613322,RESPONSE,UNCONFIRMED,10.0.19.49,10.0.19.39,10.0.19.39:56638-10.0.19.49:102,,,,,,45,SAT200: 10.0.19.39 Origin:128,174,E03A103_CTRL/Q1CSWI1$ST$Pos,false,failed-control,report_without_matching_write,,45.00,0.00,45.00,failed-control,0,Unconfirmed <RPT>
packet,269570,2026-02-15T14:13:08.108244,RESPONSE,UNCONFIRMED,10.0.19.47,10.0.19.39,10.0.19.39:56633-10.0.19.47:102,,,,,,131,SAT200: 10.0.19.39 Origin:128,173,E01A103_CTRL/Q1CSWI1$ST$Pos,true,failed-control,report_without_matching_write,,45.00,0.00,45.00,failed-control,0,Unconfirmed <RPT>
packet,269582,2026-02-15T14:13:11.530546,RESPONSE,UNCONFIRMED,10.0.19.47,10.0.19.39,10.0.19.39:56633-10.0.19.47:102,,,,,,133,SAT200: 10.0.19.39 Origin:128,175,E01A103_CTRL/Q1CSWI1$ST$Pos,true,failed-control,report_without_matching_write,,45.00,0.00,45.00,failed-control,0,Unconfirmed <RPT>
packet,269583,2026-02-15T14:13:13.120556,RESPONSE,UNCONFIRMED,10.0.19.47,10.0.19.39,10.0.19.39:56633-10.0.19.47:102,,,,,,,SAT200: 10.0.19.39 Origin:128,175,,true;false,failed-control,report_without_matching_write,,45.00,0.00,45.00,failed-control,0,Unconfirmed <?>
packet,269584,2026-02-15T14:13:13.131292,RESPONSE,UNCONFIRMED,10.0.19.47,10.0.19.39,10.0.19.39:56633-10.0.19.47:102,,,,,,134,SAT200: 10.0.19.39 Origin:128,175,E01A103_CTRL/Q1CSWI1$ST$Pos,false,failed-control,report_without_matching_write,,45.00,0.00,45.00,failed-control,0,Unconfirmed <RPT>
packet,269608,2026-02-15T14:13:20.150131,RESPONSE,UNCONFIRMED,10.0.19.47,10.0.19.39,10.0.19.39:56633-10.0.19.47:102,,,,,,136,SAT200: 10.0.19.39 Origin:128,172,E01A103_CTRL/Q0CSWI1$ST$Pos,true,failed-control,report_ctlnum_regression;report_without_matching_write,,50.00,0.00,50.00,failed-control,0,Unconfirmed <RPT>
packet,269614,2026-02-15T14:13:23.643698,RESPONSE,UNCONFIRMED,10.0.19.47,10.0.19.39,10.0.19.39:56633-10.0.19.47:102,,,,,,,SAT200: 10.0.19.39 Origin:128,176,,true;false,failed-control,report_without_matching_write,,45.00,0.00,45.00,failed-control,0,Unconfirmed <?>
packet,269615,2026-02-15T14:13:23.653458,RESPONSE,UNCONFIRMED,10.0.19.47,10.0.19.39,10.0.19.39:56633-10.0.19.47:102,,,,,,138,SAT200: 10.0.19.39 Origin:128,176,E01A103_CTRL/Q0CSWI1$ST$Pos,false,failed-control,report_without_matching_write,,45.00,0.00,45.00,failed-control,0,Unconfirmed <RPT>
packet,269638,2026-02-15T14:13:32.734184,RESPONSE,UNCONFIRMED,10.0.19.49,10.0.19.39,10.0.19.39:56638-10.0.19.49:102,,,,,,47,SAT200: 10.0.19.39 Origin:128,170,E03A103_CTRL/Q0CSWI1$ST$Pos,true,failed-control,report_ctlnum_regression;report_without_matching_write,,50.00,0.00,50.00,failed-control,0,Unconfirmed <RPT>
packet,269646,2026-02-15T14:13:36.349979,RESPONSE,UNCONFIRMED,10.0.19.49,10.0.19.39,10.0.19.39:56638-10.0.19.49:102,,,,,,,SAT200: 10.0.19.39 Origin:128,177,,true;false,failed-control,report_without_matching_write,,45.00,0.00,45.00,failed-control,0,Unconfirmed <?>
packet,269647,2026-02-15T14:13:36.367545,RESPONSE,UNCONFIRMED,10.0.19.49,10.0.19.39,10.0.19.39:56638-10.0.19.49:102,,,,,,49,SAT200: 10.0.19.39 Origin:128,177,E03A103_CTRL/Q0CSWI1$ST$Pos,false,failed-control,report_without_matching_write,,45.00,0.00,45.00,failed-control,0,Unconfirmed <RPT>
packet,270730,2026-02-15T14:21:35.355256,RESPONSE,UNCONFIRMED,10.0.19.49,10.0.19.39,10.0.19.39:56638-10.0.19.49:102,,,,,,50,SAT200: 10.0.19.39 Origin:128,177,E03A103_CTRL/Q0CSWI1$ST$Pos,true,failed-control,report_without_matching_write,interarrival_outlier,45.00,25.00,70.00,likely-attack,0,Unconfirmed <RPT>
packet,270731,2026-02-15T14:21:35.526053,RESPONSE,UNCONFIRMED,10.0.19.49,10.0.19.39,10.0.19.39:56638-10.0.19.49:102,,,,,,51,IEDEXPLORER,0,E03A103_CTRL/Q0CSWI1$ST$Pos;E03A103_CTRL/Q1CILO1$ST$EnaCls,false;true,likely-attack,unexpected_octet_identity_in_control_context;report_origin_not_seen_in_writes;report_ctlnum_regression;report_without_matching_write,,85.00,0.00,85.00,likely-attack,0,Unconfirmed <RPT>
packet,270776,2026-02-15T14:21:55.075747,RESPONSE,UNCONFIRMED,10.0.19.49,10.0.19.39,10.0.19.39:56638-10.0.19.49:102,,,,,,52,SAT200: 10.0.19.39 Origin:128,174,E03A103_CTRL/Q1CSWI1$ST$Pos,true,failed-control,report_ctlnum_regression;report_without_matching_write,,50.00,0.00,50.00,failed-control,0,Unconfirmed <RPT>
packet,270778,2026-02-15T14:21:56.075147,RESPONSE,UNCONFIRMED,10.0.19.49,10.0.19.39,10.0.19.39:56638-10.0.19.49:102,,,,,,54,IEDEXPLORER,1,E03A103_CTRL/Q1CSWI1$ST$Pos,true,likely-attack,unexpected_octet_identity_in_control_context;report_origin_not_seen_in_writes;report_ctlnum_regression;report_without_matching_write,,85.00,0.00,85.00,likely-attack,0,Unconfirmed <RPT>
packet,270781,2026-02-15T14:21:57.620372,RESPONSE,UNCONFIRMED,10.0.19.49,10.0.19.39,10.0.19.39:56638-10.0.19.49:102,,,,,,55,IEDEXPLORER,1,E03A103_CTRL/Q0CILO1$ST$EnaCls;E03A103_CTRL/Q1CSWI1$ST$Pos;E03A103_CTRL/Q2CILO1$ST$EnaCls;E03A103_CTRL/Q8CILO1$ST$EnaCls,true;false;true;true,likely-attack,unexpected_octet_identity_in_control_context;report_origin_not_seen_in_writes;report_ctlnum_regression;report_without_matching_write,payload_size_outlier,85.00,4.67,89.67,likely-attack,0,Unconfirmed <RPT>
packet,270914,2026-02-15T14:22:56.195705,RESPONSE,UNCONFIRMED,10.0.19.49,10.0.19.39,10.0.19.39:56638-10.0.19.49:102,,,,,,56,IEDEXPLORER,1,E03A103_CTRL/Q1CSWI1$ST$Pos,true,likely-attack,unexpected_octet_identity_in_control_context;report_origin_not_seen_in_writes;report_ctlnum_regression;report_without_matching_write,,85.00,0.00,85.00,likely-attack,0,Unconfirmed <RPT>
packet,270916,2026-02-15T14:22:57.134892,RESPONSE,UNCONFIRMED,10.0.19.49,10.0.19.39,10.0.19.39:56638-10.0.19.49:102,,,,,,58,IEDEXPLORER,3,E03A103_CTRL/Q1CSWI1$ST$Pos,true,likely-attack,unexpected_octet_identity_in_control_context;report_origin_not_seen_in_writes;report_ctlnum_regression;report_without_matching_write,,85.00,0.00,85.00,likely-attack,0,Unconfirmed <RPT>
packet,270929,2026-02-15T14:22:58.738438,RESPONSE,UNCONFIRMED,10.0.19.49,10.0.19.39,10.0.19.39:56638-10.0.19.49:102,,,,,,59,IEDEXPLORER,3,E03A103_CTRL/Q0CILO1$ST$EnaCls;E03A103_CTRL/Q1CSWI1$ST$Pos,true;false,likely-attack,unexpected_octet_identity_in_control_context;report_origin_not_seen_in_writes;report_ctlnum_regression;report_without_matching_write,,85.00,0.00,85.00,likely-attack,0,Unconfirmed <RPT>
